loss,auc-pr,val_loss,val_auc-pr
0.06378912180662155,0.16621872782707214,,0.09447816014289856
0.0434599295258522,0.17604127526283264,,0.09594818949699402
0.03615044057369232,0.177753284573555,,0.08655646443367004
0.033284008502960205,0.16800172626972198,,0.08834341168403625
0.031619831919670105,0.17168289422988892,,0.09011463075876236
0.03051823377609253,0.16829165816307068,,0.0884796530008316
0.029896745458245277,0.16349604725837708,,0.09147070348262787
0.029144195839762688,0.16603505611419678,,0.09234108775854111
0.028710346668958664,0.1675894856452942,,0.10266277194023132
0.02832767926156521,0.1678885519504547,,0.10628391057252884
